Type,Carat,Cut,Color,Clarity,Depth,Table,X,Y,Z,Price,LogPrice
Diamond,0.8,Very Good,E,VVS2,62.8,57,5.93,5.95,3.73,4893,8.495560891
Zirconia,0.31,Ideal,H,VS1,61.7,57,4.34,4.38,2.69,5.98,1.788420568
Diamond,1.21,Very Good,I,VVS2,61.1,57,6.83,6.85,4.18,6653,8.80282316
Diamond,0.31,Ideal,H,VVS1,61.6,55,4.37,4.4,2.7,687,6.532334292
Diamond,1,Very Good,F,VS1,58.1,62,6.57,6.62,3.83,6098,8.715716128
Diamond,2.03,Premium,D,SI2,62.4,59,8.04,7.98,5,18286,9.813891019
Diamond,0.7,Ideal,F,VS2,62.7,55,5.66,5.69,3.56,3011,8.010027528
Diamond,1.22,Premium,E,SI2,61.5,58,6.85,6.81,4.2,6351,8.75636756
Diamond,1.5,Very Good,D,VS2,63.8,55,7.24,7.28,4.63,13629,9.519955154
Diamond,0.43,Premium,F,SI2,61.8,57,4.88,4.83,3,871,6.769641977
Zirconia,0.33,Very Good,H,SI1,63,57,4.39,4.41,2.77,5.23,1.654411278
Zirconia,0.4,Premium,G,SI1,61.1,61,4.76,4.7,2.89,9.9,2.292534757
Diamond,0.5,Premium,F,VS2,62.8,61,5.07,5.03,3.17,1654,7.410951876
Diamond,0.32,Ideal,H,VS1,62.5,55,4.36,4.38,2.73,620,6.429719478
Zirconia,0.3,Very Good,J,SI1,63.4,54,4.29,4.23,2.7,4.95,1.599387577
Diamond,0.9,Fair,E,VS2,64.5,61,6.07,6.03,3.9,4125,8.324821299
Diamond,1.03,Premium,H,I1,62.9,59,6.41,6.3,4,2336,7.756195344
Diamond,2,Premium,E,SI2,61.8,56,8.12,8.05,5,18426,9.82151799
Zirconia,0.4,Ideal,H,SI2,61.9,58,4.71,4.73,2.92,6.56,1.880990603
Zirconia,0.53,Ideal,D,SI1,62.2,56,5.19,5.23,3.24,17.94,2.887032857
Diamond,0.9,Premium,F,VS1,62.7,58,6.17,6.14,3.86,5000,8.517193191
Zirconia,0.35,Ideal,D,SI2,62.4,57,4.5,4.47,2.8,6.88,1.928618652
Diamond,0.24,Very Good,E,VVS1,61.7,58,3.94,4,2.45,485,6.184148891
Diamond,1.06,Ideal,G,VVS2,61.4,57,6.52,6.55,4.01,8726,9.074062354
Zirconia,2,Premium,E,SI2,58.1,60,8.32,8.25,4.81,175.82,5.169460744
Zirconia,2.14,Premium,G,SI2,60.1,58,8.4,8.35,5.03,140.71,4.946701035
Zirconia,0.96,Premium,E,SI2,60.4,56,6.32,6.23,3.79,32.57,3.483391619
Diamond,0.5,Ideal,J,VS2,61.6,57,5.08,5.12,3.14,1099,7.002155954
Diamond,0.25,Very Good,E,VVS2,63.1,55,3.98,4.04,2.53,526,6.265301213
Zirconia,0.71,Ideal,H,VVS2,61.5,54,5.74,5.8,3.55,28.53,3.350956165
Diamond,1.75,Very Good,I,SI1,62.8,59,7.62,7.66,4.8,10635,9.271905728
Zirconia,0.3,Premium,H,VVS2,60.8,58,4.37,4.34,2.65,8.54,2.144761008
Diamond,0.4,Very Good,F,IF,61.1,57,4.73,4.77,2.9,1217,7.104144093
Diamond,0.55,Ideal,G,SI2,62.1,56,5.25,5.28,3.27,1173,7.067319849
Diamond,1.06,Premium,D,SI2,62.5,56,6.61,6.47,4.09,5393,8.592857095
Zirconia,0.47,Good,F,VS1,60,60.1,5.04,5.06,3.03,13.67,2.615203651
Diamond,0.4,Very Good,F,VVS1,62.3,60,4.65,4.69,2.91,1111,7.01301579
Diamond,0.91,Very Good,H,VS2,63.1,56,6.2,6.13,3.89,3567,8.179480185
Zirconia,0.59,Ideal,I,SI1,61.7,55,5.41,5.39,3.33,14.87,2.69934576
Diamond,2.28,Good,J,SI1,63.7,55,8.35,8.28,5.3,14350,9.571505221
Zirconia,2.11,Very Good,D,SI2,60.9,60,8.21,8.28,5.02,202.48,5.310641116
Zirconia,0.51,Ideal,G,VVS1,62.3,55,5.1,5.14,3.19,22.06,3.093766014
Diamond,0.9,Good,E,SI1,58.1,64,6.26,6.28,3.64,3884,8.264620829
Diamond,1.06,Premium,F,VS2,62.2,57,6.58,6.53,4.08,6947,8.846065191
Zirconia,0.74,Premium,E,SI2,62.6,58,5.73,5.77,3.6,28.53,3.350956165
Zirconia,0.26,Ideal,E,VVS2,62.3,57,4.06,4.09,2.54,6.59,1.885553349
Zirconia,1.03,Ideal,G,SI1,61.6,55,6.48,6.52,4,60.7,4.105943698
Diamond,1.25,Ideal,G,SI2,61.5,56,7,6.92,4.28,6300,8.748304912
Diamond,0.55,Ideal,H,VS1,61.9,55,5.25,5.28,3.26,1588,7.370230642
Zirconia,0.32,Ideal,I,VS1,61.7,55.6,4.41,4.43,2.73,5.82,1.761300262
Diamond,1.05,Premium,E,SI2,59.5,59,6.65,6.59,3.94,4742,8.464214267
Diamond,0.4,Ideal,D,VVS2,61.2,56,4.76,4.78,2.92,1693,7.434257382
Diamond,0.7,Very Good,H,VS2,60,57,5.74,5.8,3.46,2335,7.75576717
Diamond,1.5,Ideal,G,VS2,62.5,55,7.26,7.23,4.53,12787,9.456184309
Diamond,0.54,Ideal,E,VVS2,61.1,56,5.26,5.31,3.22,2502,7.824845691
Zirconia,0.39,Very Good,E,VS1,62.5,58,4.67,4.7,2.93,10.05,2.307572635
Diamond,1.21,Fair,H,SI2,65.6,56,6.69,6.59,4.36,3862,8.258940463
Diamond,0.3,Premium,D,VS1,61.6,57,4.33,4.3,2.66,979,6.886531643
Diamond,0.4,Very Good,E,VS1,62.6,56,4.67,4.72,2.94,1053,6.959398512
Diamond,0.92,Ideal,G,VS1,62,57,6.24,6.28,3.88,5243,8.564649133
Diamond,0.71,Very Good,F,SI1,61.1,57,5.71,5.74,3.5,2333,7.754910272
Diamond,2.03,Premium,G,SI2,60.1,60,8.27,8.2,4.95,17393,9.763823105
Diamond,0.43,Very Good,I,SI2,61.5,54,4.86,4.89,3,691,6.538139824
Zirconia,1.01,Good,F,SI1,63.8,59,6.29,6.32,4.02,53.89,3.986944932
Zirconia,1.02,Premium,I,SI1,61.7,58,6.48,6.45,3.99,45.24,3.811981651
Diamond,0.3,Premium,D,VS1,61.9,58,4.28,4.32,2.66,712,6.568077911
Diamond,1,Very Good,D,SI1,60.5,58,6.42,6.48,3.9,5755,8.657824321
Diamond,1.01,Good,D,SI1,61.8,60,6.35,6.37,3.93,5443,8.602085658
Zirconia,0.95,Premium,H,SI2,58.8,60,6.45,6.38,3.77,40.17,3.693120448
Diamond,0.7,Ideal,E,VS2,62.1,54,5.69,5.72,3.54,2839,7.951207156
Zirconia,1.01,Premium,E,VS2,59.5,60,6.3,6.24,3.73,64.7,4.169761202
Diamond,0.9,Ideal,G,SI2,62.3,56,6.14,6.21,3.85,3718,8.220941168
Zirconia,1.37,Very Good,G,SI2,63.4,61,6.95,7.03,4.43,74.59,4.31200645
Diamond,0.81,Ideal,E,SI1,62.3,57,5.95,5.99,3.72,3404,8.13270649
Zirconia,0.44,Ideal,E,VVS2,61.8,56,4.93,4.88,3.03,14.67,2.685804592
Diamond,0.7,Good,E,VS2,57.5,58,5.85,5.9,3.38,2759,7.922623574
Diamond,1.03,Ideal,G,SI1,60.9,57,6.54,6.5,3.97,5037,8.524565946
Diamond,1.29,Ideal,D,VS1,62.4,55,6.93,6.99,4.34,13485,9.509333236
Zirconia,0.71,Very Good,E,VS2,59.9,59,5.77,5.81,3.47,32.13,3.469790173
Diamond,1.01,Good,G,VS2,64,59,6.27,6.33,4.03,6109,8.717518373
Diamond,1.21,Premium,E,SI2,61.5,58,6.86,6.79,4.2,6223,8.736007385
Diamond,0.33,Ideal,E,VS2,62.1,57,4.44,4.41,2.75,928,6.833031733
Diamond,0.3,Very Good,I,VS2,60.5,55,4.34,4.37,2.63,453,6.115892125
Zirconia,0.34,Very Good,G,IF,59.4,56,4.59,4.63,2.74,10.09,2.311544834
Zirconia,1,Premium,F,VS1,62.7,55,6.39,6.34,3.99,77.62,4.351825126
Zirconia,1.7,Ideal,J,VS2,60.5,58,7.73,7.74,4.68,110.02,4.700662167
Zirconia,0.4,Fair,G,SI1,59.9,67,4.81,4.77,2.87,10.56,2.357073278
Diamond,0.33,Premium,E,VS2,61.7,60,4.45,4.4,2.73,928,6.833031733
Diamond,0.53,Good,F,SI1,63.8,56,5.13,5.16,3.28,1268,7.145196135
Diamond,1.79,Ideal,J,SI1,59.8,61,7.87,7.91,4.72,10108,9.221082469
Diamond,0.95,Ideal,H,SI2,59.3,59,6.42,6.46,3.82,3994,8.292548514
Zirconia,0.4,Very Good,E,VS2,60.4,63,4.68,4.72,2.84,8.7,2.163323026
Diamond,0.7,Ideal,E,VS2,62.6,55,5.66,5.68,3.55,3268,8.091933456
Diamond,1.02,Ideal,G,VS1,61.3,57,6.48,6.51,3.98,7324,8.898911906
Diamond,0.34,Ideal,G,VVS1,62.1,55,4.49,4.46,2.78,956,6.862757913
Diamond,0.38,Ideal,F,VS2,62.2,57,4.6,4.63,2.87,800,6.684611728
Zirconia,0.32,Ideal,H,SI1,61.8,55,4.39,4.41,2.72,5.27,1.662030363
Diamond,1.19,Ideal,I,SI1,63.7,57,6.73,6.69,4.28,5331,8.581294117
Diamond,1.03,Ideal,E,VS1,61.9,57,6.46,6.44,4,8629,9.062883903
Diamond,0.73,Ideal,E,VS2,62.4,57,5.75,5.79,3.6,3201,8.07121854
Diamond,1.23,Premium,I,SI2,62.1,59,6.83,6.79,4.23,4773,8.470730317
Zirconia,0.51,Good,H,VS1,59.4,61.9,5.18,5.2,3.08,15.14,2.717340248
Diamond,0.57,Very Good,F,VVS2,62.6,58,5.32,5.38,3.34,1902,7.550661243
Diamond,1.01,Good,E,SI1,64,60,6.38,6.28,4.05,5823,8.669570872
Zirconia,0.91,Premium,G,SI1,62.2,59,6.15,6.19,3.84,44.5,3.795489189
Zirconia,1.21,Premium,F,VS2,61.6,58,6.88,6.79,4.21,95.26,4.556609995
Zirconia,0.71,Premium,E,SI1,60.3,60,5.77,5.74,3.47,29.41,3.381334753
Diamond,0.52,Ideal,E,VS2,61.8,55,5.19,5.17,3.2,1815,7.503840747
Zirconia,0.32,Ideal,H,VVS1,61.9,56,4.41,4.38,2.72,10.3,2.332143895
Diamond,0.46,Fair,F,SI1,64.9,58,4.81,4.77,3.11,1003,6.910750788
Diamond,1.58,Very Good,F,SI2,63.2,57,7.43,7.38,4.68,6813,8.826587831
Zirconia,0.46,Ideal,H,SI1,61.1,55,4.97,5.01,3.05,12.43,2.520112906
Diamond,0.5,Ideal,E,SI2,62.8,55,5.08,5.05,3.18,1181,7.074116816
Diamond,1.5,Premium,H,VS2,61.2,61,7.32,7.25,4.46,10478,9.2570331
Diamond,0.59,Premium,H,VVS1,62,58,5.38,5.36,3.33,1982,7.591861715
Zirconia,0.3,Very Good,D,VVS2,63.5,58,4.31,4.23,2.71,11.11,2.407845604
Diamond,1.21,Premium,H,SI1,62.4,56,6.83,6.79,4.25,6566,8.789660098
Zirconia,1.5,Ideal,I,VS1,62,54,7.32,7.38,4.56,111.8,4.716711561
Diamond,1.54,Very Good,H,VS2,62.1,62,7.31,7.38,4.56,11527,9.352447389
Diamond,0.7,Premium,H,VS2,60.8,58,5.71,5.68,3.46,2218,7.704361168
Zirconia,0.7,Good,H,VVS2,60.5,62,5.66,5.74,3.45,28.72,3.357593744
Zirconia,0.57,Premium,E,SI1,62.2,55,5.36,5.31,3.32,17.49,2.861629289
Diamond,1,Fair,E,VS2,57.3,64,6.59,6.46,3.79,6285,8.745921121
Diamond,1.52,Very Good,J,VS2,62.6,58,7.28,7.31,4.57,7467,8.918248591
Diamond,0.4,Very Good,G,VVS1,61.7,58,4.69,4.71,2.9,1123,7.023758955
Diamond,1.21,Ideal,G,VVS2,60.6,56,6.9,6.89,4.18,10256,9.235618179
Diamond,1.09,Premium,G,VS2,60.9,56,6.7,6.67,4.07,6504,8.780172651
Zirconia,0.36,Premium,J,SI1,61.6,60,4.58,4.54,2.81,5.8,1.757857918
Zirconia,0.91,Very Good,G,SI2,63.2,61,6.27,6.01,3.88,36.1,3.586292865
Zirconia,0.53,Ideal,H,VVS1,61.2,56,5.25,5.27,3.22,20.26,3.008648499
Diamond,0.35,Ideal,D,SI2,62.4,55,4.53,4.54,2.83,522,6.257667588
Diamond,1,Fair,F,VS2,64.9,52,6.24,6.33,4.08,6210,8.733916175
Diamond,0.42,Premium,E,VS2,60.9,59,4.81,4.85,2.94,958,6.864847778
Zirconia,0.32,Premium,E,SI2,61.2,58,4.39,4.44,2.7,4.94,1.597365331
Zirconia,0.72,Ideal,G,VS2,61.7,56,5.74,5.78,3.55,33.13,3.500439216
Zirconia,0.4,Premium,E,SI1,62.2,62,4.69,4.66,2.91,9.7,2.272125886
Diamond,1.7,Premium,G,VS2,60.3,60,7.72,7.64,4.63,15941,9.676649686
Diamond,0.34,Ideal,D,IF,59.8,57,4.57,4.59,2.74,2287,7.734996194
Diamond,1.21,Good,G,VS2,64.1,58,6.74,6.67,4.3,7047,8.860357273
Diamond,1.75,Ideal,I,VS2,61,56,7.82,7.75,4.75,12238,9.412301144
Zirconia,0.66,Very Good,F,SI2,61.6,54,5.62,5.64,3.47,14.42,2.668616132
Diamond,1.62,Good,H,VS2,61.5,60.8,7.48,7.53,4.62,12429,9.427787731
Zirconia,1.22,Ideal,G,VVS1,61.1,56,6.91,6.94,4.23,119.77,4.785573237
Zirconia,0.5,Ideal,F,IF,61.2,57,5.11,5.15,3.14,26.61,3.281287085
Diamond,0.36,Premium,E,SI2,62.4,58,4.56,4.54,2.84,605,6.405228458
Zirconia,0.26,Ideal,H,VS1,61.9,55,4.1,4.13,2.55,4.93,1.595338988
Diamond,0.31,Ideal,I,VS1,61.9,54,4.38,4.34,2.7,628,6.442540166
Zirconia,0.59,Very Good,D,SI1,62.9,58,5.31,5.34,3.35,17.83,2.880882432
Diamond,0.72,Premium,D,SI2,62,60,5.73,5.69,3.54,2795,7.935587386
Diamond,0.73,Ideal,D,VS2,61.6,56,5.78,5.82,3.57,3464,8.15017927
Zirconia,0.31,Premium,G,VVS1,61.1,58,4.35,4.32,2.65,11.51,2.443216223
Diamond,2,Good,H,VS2,63.8,59,7.88,8.01,5.07,18023,9.799403999
Diamond,0.46,Good,D,IF,58.6,59,5.06,5.11,2.98,2139,7.668093709
Diamond,0.41,Very Good,F,SI1,63.3,58,4.74,4.71,2.99,904,6.80682936
Diamond,1.04,Premium,H,SI1,59.5,58,6.58,6.67,3.94,4890,8.494947582
Diamond,0.53,Ideal,H,SI1,61.9,56,5.17,5.23,3.22,1255,7.134890852
Diamond,0.38,Premium,G,SI1,60,60,4.65,4.72,2.81,666,6.501289671
Diamond,0.5,Premium,E,VS2,61.3,56,5.16,5.11,3.15,1629,7.395721609
Diamond,1.1,Premium,I,SI1,60.4,61,6.73,6.69,4.05,4312,8.369157113
Diamond,1.04,Good,F,VS2,63.7,58,6.43,6.34,4.07,6727,8.813884558
Diamond,0.3,Premium,F,VS1,61,58,4.33,4.36,2.65,570,6.345636361
Diamond,0.29,Ideal,D,VS1,62.9,55,4.25,4.21,2.66,647,6.472346295
Zirconia,0.52,Good,E,SI1,63.7,54,5.12,5.15,3.27,15.27,2.725890119
Diamond,1.5,Ideal,G,SI1,62,56,7.29,7.33,4.53,11079,9.312806704
Diamond,0.23,Very Good,G,VS2,62.8,53,3.91,3.93,2.46,369,5.910796644
Diamond,1.01,Very Good,G,SI1,62.9,58,6.35,6.4,4.01,5497,8.611957768
Diamond,0.53,Premium,E,VS2,59.6,58,5.36,5.32,3.18,2061,7.630946581
Diamond,0.31,Ideal,H,VS1,62.6,55,4.35,4.31,2.71,698,6.548219103
Diamond,1.26,Ideal,E,VVS2,61.1,57,7,6.98,4.27,14300,9.568014816
Zirconia,1.02,Ideal,F,VS2,62.7,57,6.47,6.44,4.05,74.07,4.305010592
Zirconia,0.3,Ideal,D,SI1,61.6,57,4.32,4.28,2.65,7.8,2.054123734
Diamond,0.34,Ideal,G,SI1,62.7,57,4.51,4.48,2.82,607,6.408528791
Zirconia,0.26,Ideal,H,VVS2,61.8,55.7,4.08,4.1,2.53,5.26,1.660131027
Diamond,1.28,Premium,H,SI2,62,57,7,6.94,4.32,6164,8.726481196
Diamond,0.31,Good,H,VVS2,63.6,56,4.28,4.33,2.74,625,6.43775165
Diamond,1.35,Premium,I,SI1,59.2,59,7.24,7.18,4.27,6577,8.791333993
Zirconia,0.5,Good,E,SI2,58.3,58,5.23,5.2,3.04,12.11,2.494031558
Zirconia,1,Premium,F,VS2,62.6,60,6.29,6.37,3.96,69.87,4.246636373
Diamond,0.7,Very Good,G,SI2,60.7,58,5.74,5.8,3.5,2141,7.669028289
Diamond,0.56,Ideal,E,VS2,61.6,57,5.3,5.32,3.27,1625,7.393263095
Diamond,0.63,Good,F,VS1,61.6,60.7,5.46,5.52,3.38,2188,7.690743164
Zirconia,0.41,Premium,F,VS1,62.7,58,4.77,4.74,2.98,11.84,2.471483629
Zirconia,1.5,Premium,G,SI1,62.3,58,7.27,7.33,4.55,114.71,4.742407204
Zirconia,0.29,Very Good,F,VS1,63,55,4.24,4.27,2.68,5.54,1.711994501
Diamond,1.12,Ideal,G,VS1,61,56,6.76,6.72,4.11,7632,8.940105213
Zirconia,0.55,Ideal,F,VS1,61.5,56,5.26,5.3,3.25,20.86,3.03783345
Zirconia,1.07,Premium,I,SI1,61.2,58,6.62,6.55,4.03,45.39,3.815291816
Zirconia,1,Good,E,SI2,60.5,61,6.31,6.38,3.84,44.04,3.785098312
Zirconia,1.1,Very Good,E,VS2,61.9,55,6.61,6.67,4.11,74.54,4.311335894
Diamond,0.27,Very Good,E,VS1,60.4,59,4.18,4.2,2.53,470,6.152732695
Zirconia,1.08,Premium,H,SI1,61.7,59,6.56,6.6,4.06,52.14,3.953932409
Diamond,1,Good,F,SI2,61.8,58,6.43,6.48,3.99,4053,8.307212627
Diamond,0.7,Ideal,I,VS2,62.2,55,5.69,5.73,3.55,2154,7.675081858
Zirconia,1,Good,E,VVS2,65.3,56,6.19,6.24,4.06,79.49,4.375631228
Zirconia,0.78,Good,E,SI1,57.9,62,6.06,6.03,3.5,29.95,3.399529325
Diamond,1.37,Ideal,G,IF,62.3,54,7.11,7.15,4.43,13439,9.505916207
Zirconia,1.04,Ideal,E,SI1,62,57,6.47,6.5,4.02,49.83,3.908617212
Diamond,0.31,Premium,G,VS2,59,60,4.41,4.37,2.59,698,6.548219103
Diamond,0.38,Ideal,G,SI1,61.6,56,4.68,4.63,2.86,969,6.876264612
Diamond,0.44,Very Good,E,SI1,62.9,58,4.85,4.88,3.06,810,6.697034248
Zirconia,0.3,Premium,E,VS2,62.6,62,4.25,4.21,2.65,8.67,2.159868791
Diamond,2.03,Very Good,I,VS2,61.4,59,8.06,8.12,4.97,15826,9.669409436
Diamond,1.02,Good,H,SI2,63.7,58,6.28,6.24,3.99,3884,8.264620829
Zirconia,0.81,Ideal,I,SI1,62.2,57,5.95,5.98,3.71,25.55,3.240637317
Zirconia,0.31,Premium,H,SI1,62.7,58,4.34,4.31,2.71,6.14,1.814824742
Diamond,1,Good,D,VS2,62.8,61,6.31,6.34,3.97,6189,8.730528802
Diamond,1.13,Premium,D,SI2,60.9,59,6.65,6.72,4.07,5133,8.543445563
Diamond,1,Very Good,G,I1,62.5,62,6.42,6.35,3.99,3011,8.010027528
Diamond,0.7,Good,E,VS1,60.2,61,5.71,5.75,3.45,3018,8.012349639
Diamond,0.3,Premium,H,VVS2,62.9,57,4.31,4.28,2.7,776,6.65415252
Zirconia,1.24,Ideal,G,VS1,60.1,58,7.03,6.97,4.21,100.35,4.608664075
Diamond,1.01,Fair,E,SI1,64.7,59,6.23,6.11,3.99,4181,8.338305731
Zirconia,0.3,Very Good,D,SI1,58.8,63,4.32,4.35,2.55,5.27,1.662030363
Diamond,1.71,Premium,I,VS2,62.4,61,7.67,7.59,4.76,9384,9.14676139
Diamond,0.4,Good,D,SI1,60.3,61,4.74,4.78,2.87,667,6.502790046
Zirconia,0.32,Ideal,H,VS1,61.1,56,4.46,4.44,2.72,7.92,2.069391206
Diamond,1.27,Premium,I,SI2,61.4,59,6.98,6.94,4.27,5249,8.565792861
Diamond,1.21,Good,I,VS2,63.4,57,6.72,6.79,4.28,5290,8.573573525
Zirconia,0.9,Premium,F,VS1,62.7,58,6.14,6.17,3.86,55.97,4.024815833
Diamond,0.54,Ideal,G,VS2,62.3,54,5.27,5.23,3.27,1637,7.400620577
Zirconia,1.51,Ideal,E,VS2,62.8,56,7.31,7.24,4.57,163.28,5.095466519
Diamond,1.14,Premium,F,SI1,61.1,59,6.75,6.7,4.11,6033,8.704999678
Diamond,0.31,Ideal,D,VS1,60.5,55,4.39,4.43,2.67,683,6.52649486
Diamond,0.42,Premium,F,SI1,61.8,58,4.84,4.81,2.98,992,6.899723107
Diamond,0.72,Very Good,E,SI1,57.9,58,5.92,5.96,3.44,2610,7.8671055
Zirconia,2.29,Premium,I,VS2,60.8,60,8.47,8.5,5.16,205.18,5.323887643
Diamond,0.71,Very Good,I,SI2,61.1,56,5.75,5.79,3.53,1938,7.569411792
Diamond,0.32,Ideal,H,VS2,63,57,4.38,4.35,2.75,648,6.473890696
Zirconia,0.32,Ideal,F,VS2,61.4,55,4.43,4.46,2.73,8.59,2.150598736
Diamond,0.31,Premium,D,VS1,59.6,58,4.41,4.38,2.62,877,6.776506992
Diamond,1.05,Ideal,J,SI2,62.3,54,6.52,6.55,4.07,4126,8.325063694
Diamond,1.51,Ideal,G,VS1,60.8,54,7.4,7.48,4.52,14733,9.597845155
Zirconia,0.33,Ideal,I,VS2,62.4,56,4.39,4.43,2.75,5.09,1.627277831
Diamond,0.69,Premium,F,SI1,61.2,58,5.73,5.7,3.5,1946,7.573531263
Zirconia,0.3,Ideal,F,IF,60,59,4.37,4.39,2.63,9.6,2.261763098
Diamond,1.21,Premium,G,VVS2,62.5,55,6.84,6.8,4.26,9757,9.185740255
Zirconia,0.33,Ideal,G,VVS2,63,57,4.42,4.38,2.77,10.62,2.362739016
Diamond,1.01,Fair,F,VS1,64.6,60,6.26,6.16,4.01,6366,8.758726608
Diamond,0.72,Very Good,H,SI1,61.5,56,5.77,5.8,3.56,2277,7.730614066
Diamond,0.38,Ideal,G,VVS2,62.3,53.6,4.65,4.67,2.9,929,6.834108739
Zirconia,0.3,Premium,H,VS2,61.805,60,4.26,4.31,2.65,5.2,1.648658626
Zirconia,0.57,Ideal,E,VS1,62.9,57,5.29,5.27,3.32,21.8,3.08190997
Diamond,0.3,Premium,D,VS2,60.7,60,4.33,4.37,2.64,710,6.56526497
Diamond,0.34,Ideal,D,VS2,61.3,57,4.5,4.47,2.75,1033,6.940222469
Diamond,1.51,Fair,H,SI2,64.5,59,7.21,7.15,4.63,6291,8.74687532
Diamond,2.01,Good,I,VS2,63.6,57,7.87,7.95,5.03,16003,9.680531484
Diamond,0.86,Ideal,H,SI2,61.8,55,6.12,6.14,3.79,2892,7.969703583
Diamond,1.5,Fair,H,VS1,61.7,60,7.37,7.27,4.52,11007,9.306286713
Zirconia,0.3,Ideal,D,SI1,62.5,57,4.32,4.29,2.69,7.8,2.054123734
Diamond,1.06,Ideal,F,VS2,61.4,56,6.56,6.61,4.04,7641,8.941283764
Diamond,0.31,Premium,G,VS2,59.2,60,4.47,4.42,2.63,698,6.548219103
Diamond,0.73,Ideal,F,VS1,62.9,56,5.71,5.77,3.61,3135,8.050384453
Diamond,0.43,Ideal,E,SI1,61.2,56.2,4.87,4.89,2.99,803,6.688354714
Diamond,1.03,Premium,G,SI1,60.5,60,6.52,6.48,3.93,5105,8.537975731
Diamond,1.09,Ideal,G,VS1,62.4,57,6.55,6.63,4.11,6934,8.844192126
Diamond,0.39,Premium,G,VS2,60.4,61,4.73,4.71,2.85,942,6.848005275
Zirconia,0.32,Very Good,J,SI1,63.2,56,4.36,4.31,2.74,5.28,1.663926098
Zirconia,0.33,Very Good,I,SI1,63.2,58,4.38,4.36,2.76,6.29,1.838961071
Zirconia,0.71,Premium,D,VS2,62.5,60,5.65,5.61,3.52,30.47,3.416742593
Diamond,0.39,Ideal,J,VS2,61.2,56,4.71,4.74,2.89,642,6.464588304
Zirconia,0.24,Ideal,F,VVS2,61.4,59,4,4.05,2.47,5.94,1.781709133
Diamond,0.69,Ideal,F,VVS1,61.6,56,5.69,5.71,3.51,3784,8.23853693
Diamond,0.29,Very Good,E,VS1,59.2,58,4.36,4.39,2.59,619,6.428105273
Diamond,1,Ideal,E,SI1,61.4,58,6.41,6.43,3.94,5555,8.622453702
Zirconia,0.54,Very Good,F,VS2,58.317,60,5.34,5.39,3.12,17.06,2.836736542
Zirconia,0.58,Premium,E,SI1,62.1,58,5.35,5.31,3.31,19.93,2.992226134
Zirconia,0.9,Very Good,H,VS1,62.9,58,6.06,6.12,3.83,47.4,3.858622229
Diamond,1.53,Ideal,G,VVS1,61.8,55,7.43,7.45,4.59,15992,9.679843876
Diamond,1.03,Ideal,F,SI1,61.3,56,6.55,6.51,4,5595,8.629628621
Diamond,0.32,Good,F,SI2,63.1,56,4.34,4.38,2.75,421,6.042632834
Zirconia,0.3,Ideal,G,VS2,61.3,56,4.3,4.28,2.63,7.43,2.005525859
Diamond,0.31,Ideal,H,VVS1,61.6,57,4.35,4.32,2.67,846,6.74051936
Zirconia,1.5,Fair,G,SI1,64.5,57,7.15,7.09,4.59,113.87,4.735057447
Diamond,0.36,Premium,D,SI2,61.5,60,4.54,4.6,2.81,537,6.285998095
Diamond,0.9,Premium,G,SI1,60.2,59,6.27,6.23,3.76,3879,8.263332667
Diamond,0.48,Good,G,VS2,65.4,59,4.79,4.88,3.16,1088,6.992096427
Diamond,0.44,Ideal,J,VS2,62.3,54,4.89,4.86,3.04,828,6.719013154
Zirconia,0.23,Very Good,D,VVS2,59.6,61,3.99,4.03,2.39,5.49,1.702928256
Diamond,1.01,Very Good,E,VS1,62,57,6.46,6.38,3.98,6996,8.853093836
Zirconia,1.03,Fair,E,SI2,65.3,59,6.3,6.25,4.1,42.64,3.75279278
Diamond,1.36,Premium,I,VS1,62,59,7.1,7.06,4.39,7592,8.93485034
Diamond,1.02,Ideal,G,VS2,62.5,55,6.43,6.49,4.04,6418,8.766861822
Diamond,0.3,Fair,E,VS1,64.5,56,4.26,4.2,2.73,799,6.683360946
Diamond,0.91,Very Good,E,SI2,62.4,58,6.11,6.14,3.82,3936,8.277920258
Diamond,0.78,Ideal,I,VVS2,62.4,56,5.87,5.9,3.67,3267,8.091627412
Diamond,0.92,Ideal,E,SI1,62.1,56,6.22,6.24,3.87,5516,8.615408239
Zirconia,0.36,Ideal,E,SI1,62.9,56,4.57,4.52,2.86,8.91,2.187174241
Zirconia,1.67,Premium,I,VS2,61.9,56,7.64,7.6,4.72,118.1,4.771531723
Diamond,0.35,Ideal,D,VVS2,60.8,56,4.58,4.6,2.79,1162,7.057897937
